UPC,Brand Name,Product Name,Tags,Size,Type
41163919310,Albertsons,Colby Jack Cheese-Chunk,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
42187012933,Best Yet,Colby Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
42187020181,Best Yet,All Natural Part Skim Mozzarella,Mozzarella,1 lb (16 oz),Cheese
42187021355,Best Yet,Mild Cheddar,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
42187021362,Best Yet,Monterey Jack,Jack,1 lb (16 oz),Cheese
42187022642,Best Yet,Medium Cheddar,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
42187023632,Best Yet,Mild White Cheddar,"Cheddar, White, Mild",1 lb (16 oz),Cheese
42187023656,Best Yet,Sharp Cheddar,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
1.8386E+11,Early On,String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
1.8386E+11,Early On,Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
41303007464,Essential Everyday,Colby Cheese,Colby,1 lb (16 oz),Cheese
41303007471,Essential Everyday,Colby Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
41303007501,Essential Everyday,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
41303007518,Essential Everyday,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
41303007525,Essential Everyday,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
41303007587,Essential Everyday,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
41303007631,Essential Everyday,Mozarella Cheese,Mozzarella,1 lb (16 oz),Cheese
41130011702,Flavorite,Colby Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
41130056383,Flavorite,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
41130056390,Flavorite,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
41130056406,Flavorite,Colby Cheese,Colby,1 lb (16 oz),Cheese
41130056413,Flavorite,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
36800043923,Food Club,Cheddar Milk Chunk,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
36800043954,Food Club,Colby Chunk,Colby,1 lb (16 oz),Cheese
36800043961,Food Club,Colby Jack Chunk,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
36800113602,Food Club,Cheddar Sharp Chunk,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
78742079646,Great Value,Colby & Monterey Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
78742217307,Great Value,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
78742374581,Great Value,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
78742430195,Great Value,Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
78742430201,Great Value,Natural Colby Cheese,Colby,1 lb (16 oz),Cheese
78742430218,Great Value,Natural Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
78742430225,Great Value,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
50700000510,Hytop,Mild Cheddar,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
50700000534,Hytop,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
50700000589,Hytop,Monterey Jack,Jack,1 lb (16 oz),Cheese
50700019017,Hytop,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
50700056425,Hytop,Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
50700056456,Hytop,Colby Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
21000006632,Kraft,Mozzarella Cheese String,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
21000006649,Kraft,Mozzarella Cheese String 2% Milk,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
21000608386,Kraft,Mild Cheddar,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
21000608393,Kraft,Low Moisture Part Skim Mozzarella,Mozzarella,1 lb (16 oz),Cheese
21000608409,Kraft,Sharp Cheddar,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
21000608416,Kraft,Colby,Colby,1 lb (16 oz),Cheese
21000608423,Kraft,Monterey Jack,Jack,1 lb (16 oz),Cheese
21000608430,Kraft,Colby & Monterey Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
21000608447,Kraft,Medium Cheddar,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
11110585899,Kroger,Colby Jack Cheese Bar,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
11110587268,Kroger,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
11110587299,Kroger,Mozzarella Chunk,Mozzarella,1 lb (16 oz),Cheese
11110587305,Kroger,Mild Cheddar Cheese,"Cheddar, White, Mild",1 lb (16 oz),Cheese
11110587312,Kroger,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
11110587329,Kroger,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
11110587336,Kroger,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
11110587374,Kroger,Colby Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
11110894465,Kroger,Mozzarella,Mozzarella,1 lb (16 oz),Cheese
91155134559,Los Altos,Mild Cheddar,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
91155134658,Los Altos,Sharp Cheddar,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
91155135556,Los Altos,Monterey Jack,Jack,1 lb (16 oz),Cheese
91155135754,Los Altos,Colby Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
91155136553,Los Altos,Mozzarella,Mozzarella,1 lb (16 oz),Cheese
91155138953,Los Altos,Mozzarella String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
21130042234,Lucerne,Colby Jack,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
21130042357,Lucerne,String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
21130043026,Lucerne,Whole Milk Mozzarella-Ball,Mozzarella,1 lb (16 oz),Cheese
21130043927,Lucerne,Mild Cheddar,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
21130043958,Lucerne,Monterey Jack,Jack,1 lb (16 oz),Cheese
21130044047,Lucerne,Sharp Cheddar,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
21130044245,Lucerne,Light String Cheese Mozzarella,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
21130046966,Lucerne,Low-Moisture Part-Skim Mozzarella Cheese-Ball,Mozzarella,1 lb (16 oz),Cheese
21130047659,Lucerne,Medium Cheddar,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
21130047666,Lucerne,Reduced Fat Mozzarella-Ball,Mozzarella,1 lb (16 oz),Cheese
85239116463,Market Pantry,Sharp Cheddar,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
85239116494,Market Pantry,Colby,Colby,1 lb (16 oz),Cheese
85239116531,Market Pantry,Monterey Jack Natural Cheese,Jack,1 lb (16 oz),Cheese
85239116548,Market Pantry,Medium Cheddar,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
85239116555,Market Pantry,Mild Cheddar,"Cheddar, White, Mild",1 lb (16 oz),Cheese
85239118542,Market Pantry,Mozzarella,Mozzarella,1 lb (16 oz),Cheese
