UPC,Brand Name,Product Name,Tags
36800043954,Food Club,Colby Chunk,Colby
36800043961,Food Club,Colby Jack Chunk,Marbled or Blend of Authorized Cheese
36800113602,Food Club,Cheddar Sharp Chunk,"Cheddar, Orange,Sharp"
78742079646,Great Value,Colby & Monterey Jack Cheese,Marbled or Blend of Authorized Cheese
78742217307,Great Value,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
78742374581,Great Value,Mild Cheddar Cheese,"Cheddar, Orange, Mild"
78742430195,Great Value,Mozzarella Cheese,Mozzarella
78742430201,Great Value,Natural Colby Cheese,Colby
78742430218,Great Value,Natural Monterey Jack Cheese,Jack
78742430225,Great Value,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
50700000510,Hytop,Mild Cheddar,"Cheddar, Orange, Mild"
50700000534,Hytop,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
50700000589,Hytop,Monterey Jack,Jack
50700019017,Hytop,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
50700056425,Hytop,Mozzarella Cheese,Mozzarella
50700056456,Hytop,Colby Jack,Marbled or Blend of Authorized Cheese
21000006632,Kraft,Mozzarella Cheese String,"Mozzarella String, Individually wrapped sticks"
21000006649,Kraft,Mozzarella Cheese String 2% Milk,"Mozzarella String, Individually wrapped sticks"
21000608386,Kraft,Mild Cheddar,"Cheddar, Orange, Mild"
21000608393,Kraft,Low Moisture Part Skim Mozzarella,Mozzarella
21000608409,Kraft,Sharp Cheddar,"Cheddar, Orange,Sharp"
21000608416,Kraft,Colby,Colby
21000608423,Kraft,Monterey Jack,Jack
21000608430,Kraft,Colby & Monterey Jack,Marbled or Blend of Authorized Cheese
21000608447,Kraft,Medium Cheddar,"Cheddar, Orange, Medium"
11110585899,Kroger,Colby Jack Cheese Bar,Marbled or Blend of Authorized Cheese
11110587268,Kroger,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella
11110587299,Kroger,Mozzarella Chunk,Mozzarella
